session,Period,Subject,matching_group,rand,r,Valuation,reported_valuation,sum_reported_valuations,GroupDecisionRule,GroupDecisionVote,GroupDecisionVote_XY,vote,VotesInFavour,transfer,reports_others_3_3,reports_others_3_1,reports_others_3_minus_1,reports_others_3_minus_3,reports_others_1_1,reports_others_1_minus_1,reports_others_1_minus_3,reports_others_minus_1_minus_1,reports_others_minus_1_minus_3,reports_others_minus_3_minus_3,TimeOKTestQuestionsOK,positive,TimeOKStageONEOK,TimeWertschaetbenStageTWOAGVOK,TimeStimmeAbgebenStageTWOK2OK,TimeWEITERStageTWOStatusQuoOK,TimeZumMuenzwuImplementationOK,Draw_random_provision,ReportsVector1,ReportsVector2,provision,payoff,earnings,TimeOKOUTPUTRESULTSOK,TimeOKEndOfTrialRoundsOK,independent_groups,group_formation,i,random_number,rank,TimeWEITERWAITNGAFTERROUND12OK,NumberRank,ValuationVector1,ValuationVector2,ValuationVector3,snr1,snr2,snr3,x,y,srnr1,srnr2,SelectedPeriod,TimeOKProfitInfoOK,Age,Gender,TimeOKQuestionaire1OK,Orientation,Party,TimeOKQuestionaire2OK,risk_self,risk_others,TimeOKQuestionaire3OK,reports_others_7_7,reports_others_7_1,reports_others_7_minus_1,reports_others_7_minus_3,reports_others_3_minus_7,reports_others_1_minus_7,reports_others_minus_1_minus_7,reports_others_minus_7_minus_7,reports_others_7_minus_2,reports_others_minus_1_minus_2,reports_others_minus_2_minus_2,reports_others_minus_2_minus_3,Study_Subject,Session_number,treatment_distribution,maxsession,maxsubject,Rule_1,Rule_2,identifier,SurplusGroup,EfficientChoice,HypotheticalResultAGV,HypotheticalResultSM,HypotheticalResultSQ,HypotheticalResultRAND,ChoiceResultSubject,BinaryChoice,dummy_valuation_negative,truth_telling,truth_telling_sign,never_misreports_sign,block,session_match,ad_interim_round,ex_ante_round,valuation_positive,valuation_negative,Value_factor,Rule_Vote,chose_AGV,chose_SM,chose_NSQ,chose_RAND,treatment_number,efficient,efficient_mech_choice,ex_ante_efficient,GK_prefAGV,TaxTheWinner,absVal,Veto,comparison_order_inverted,Rational
141210_1516,1,19,4,0.0025524404,0.59253824,1,-10,-30,SM,AGV,2,Yes,2,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,29,0.0,30.0,,,1,-10,-10,1,1.0,,19,,2,2,2,10.234209,3,,1,-3,1,3,10,19,21,4,21,10,21,,,22,male,,9,CDU/CSU,,3,1,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,119,1,1,1,1,0,0.5,1.0,AGV vs. SM,positive,,,1,1,1_2,0,1,1,0,Value 1,1,1.0,0.0,,,symmetric,1.0,1.0,1.0,,,1,,1,1
141210_1516,1,21,4,0.23090407,0.89886564,3,-10,-30,SM,SM,1,Yes,2,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,20,0.0,28.0,,,0,-10,-10,1,3.0,,6,,2,2,2,10.155849,2,,1,-3,1,3,10,19,21,4,19,10,19,,,24,female,,6,Nichtwähler,,7,5,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,121,1,1,1,1,0,0.5,1.0,AGV vs. SM,positive,,,0,1,1_2,0,1,1,0,Value 3,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,3,,1,0
141210_1516,1,11,5,0.30512607,0.14241162,-3,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,27,0.0,30.0,,,1,-10,-10,0,0.0,,23,,2,2,2,10.390746,3,,1,-3,-3,1,11,15,18,4,18,15,18,,,19,female,,5,Bündnis 90 / Die Grünen,,4,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,111,-5,0,0,0,0,0.5,0.0,AGV vs. SM,negative,,,1,1,1_2,0,1,0,1,Value -3,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,3,,1,0
141210_1516,1,15,5,0.69140232,0.047797449,-3,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,30,0.0,28.0,,,1,-10,-10,0,0.0,,18,,2,2,2,10.330849,2,,1,-3,-3,1,11,15,18,4,18,11,18,,,19,male,,5,AfD,,6,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,115,-5,0,0,0,0,0.5,0.0,AGV vs. SM,negative,,,1,1,1_2,0,1,0,1,Value -3,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,3,,1,0
141210_1516,1,18,5,0.92943966,0.64830446,1,-10,-30,SM,SM,1,Yes,1,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,31,0.0,31.0,,,0,-10,-10,0,0.0,,19,,2,2,2,10.381098,1,,1,-3,-3,1,11,15,18,4,15,11,15,,,37,female,,3,Bündnis 90 / Die Grünen,,4,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,118,-5,0,0,0,0,0.5,0.0,AGV vs. SM,positive,,,1,1,1_2,0,1,1,0,Value 1,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,1,,1,1
141210_1516,1,12,6,0.70222729,0.38781318,-1,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,29,0.0,31.0,,,0,-10,-10,0,0.0,,22,,2,2,2,10.398967,1,,1,-1,-1,3,12,13,20,4,20,13,20,,,22,male,,6,SPD,,7,7,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,112,1,1,1,0,0,0.5,0.0,AGV vs. SM,negative,,,1,1,1_2,0,1,0,1,Value -1,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,1,,1,1
141210_1516,1,13,6,0.39591077,0.33171678,-1,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,7,0.0,28.0,,,0,-10,-10,0,0.0,,20,,2,2,2,10.416567,2,,1,-1,-1,3,12,13,20,4,20,12,20,,,19,male,,9,CDU/CSU,,6,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,113,1,1,1,0,0,0.5,0.0,AGV vs. SM,negative,,,1,1,1_2,0,1,0,1,Value -1,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,1,,1,1
141210_1516,1,20,6,0.09607628,0.88702506,3,-10,-30,SM,SM,1,Yes,1,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,32,0.0,33.0,,,0,-10,-10,0,0.0,,22,,2,2,2,10.439365,3,,1,-1,-1,3,12,13,20,4,13,12,13,,,22,male,,5,Bündnis 90 / Die Grünen,,6,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,120,1,1,1,0,0,0.5,0.0,AGV vs. SM,positive,,,1,1,1_2,0,1,1,0,Value 3,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,3,,1,0
141210_1516,1,14,7,0.7232365,0.92581397,3,-10,-30,SM,SM,1,Yes,1,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,26,0.0,16.0,,,1,-10,-10,0,0.0,,10,,2,2,2,10.955791,1,,1,3,-1,-3,14,16,17,4,17,16,17,,,21,female,,3,Nichtwähler,,2,7,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,114,-1,0,0,0,0,0.5,0.0,AGV vs. SM,positive,,,0,1,1_2,0,1,1,0,Value 3,0,0.0,1.0,,,symmetric,0.0,0.0,0.0,,,3,,1,0
141210_1516,1,16,7,0.63086545,0.43475172,-1,-10,-30,SM,AGV,2,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,33,0.0,32.0,,,1,-10,-10,0,0.0,,19,,2,2,2,10.614146,3,,1,3,-1,-3,14,16,17,4,17,14,17,,,23,male,,6,FDP,,7,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,116,-1,0,0,0,0,0.5,0.0,AGV vs. SM,negative,,,1,1,1_2,0,1,0,1,Value -1,1,1.0,0.0,,,symmetric,1.0,1.0,1.0,,,1,,1,1
141210_1516,1,17,7,0.63341099,0.24689907,-3,-10,-30,SM,AGV,2,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,33,0.0,33.0,,,1,-10,-10,0,0.0,,23,,2,2,2,10.523876,2,,1,3,-1,-3,14,16,17,4,16,14,16,,,18,male,,8,CDU/CSU,,3,3,,,,,,,,,,,,,,,1,symmetric,9,21,SM,AGV,117,-1,0,0,0,0,0.5,0.0,AGV vs. SM,negative,,,1,1,1_2,0,1,0,1,Value -3,1,1.0,0.0,,,symmetric,1.0,1.0,1.0,,,3,,1,1
141210_1516,2,1,1,0.61267811,0.96460819,3,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,30,,32.0,,0.0,1,-10,-10,0,0.0,,22,,2,1,2,0.13376755,2,,1,3,-1,1,1,2,9,4,9,2,9,,,64,male,,3,Die Linke,,5,5,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,101,3,1,1,1,0,0.5,1.0,SM vs. RAND,positive,,,0,1,1_1,0,1,1,0,Value 3,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,3,,0,1
141210_1516,2,2,1,0.32354537,0.49065003,-1,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,35,,35.0,,0.0,0,-10,-10,0,0.0,,21,,2,1,2,0.21522413,3,,1,3,-1,1,1,2,9,4,9,1,9,,,26,male,,4,Die Linke,,2,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,102,3,1,1,1,0,0.5,1.0,SM vs. RAND,negative,,,1,1,1_1,0,1,0,1,Value -1,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,1,,0,1
141210_1516,2,9,1,0.70781571,0.74024487,1,-10,-30,SM,SM,1,Yes,1,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,29,,31.0,,0.0,0,-10,-10,0,0.0,,10,,2,1,2,0.094462514,1,,1,3,-1,1,1,2,9,4,2,1,2,,,26,male,,10,AfD,,8,8,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,109,3,1,1,1,0,0.5,1.0,SM vs. RAND,positive,,,0,1,1_1,0,1,1,0,Value 1,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,1,,0,1
141210_1516,2,4,2,0.97439408,0.97402471,3,-10,-30,SM,SM,1,Yes,2,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,34,,37.0,,0.0,1,-10,-10,1,3.0,,20,,2,1,2,0.42001638,2,,1,3,-3,1,4,6,8,4,8,6,8,,,25,female,,8,Nichtwähler,,3,8,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,104,1,1,1,1,0,0.5,1.0,SM vs. RAND,positive,,,1,1,1_1,0,1,1,0,Value 3,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,3,,0,1
141210_1516,2,6,2,0.9906581,0.080889262,-3,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,35,,37.0,,0.0,0,-10,-10,0,-3.0,,21,,2,1,2,0.2311884,1,,1,3,-3,1,4,6,8,4,8,4,8,,,21,male,,2,Die Linke,,3,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,106,1,1,1,1,0,0.5,1.0,SM vs. RAND,negative,,,1,1,1_1,0,1,0,1,Value -3,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,3,,0,1
141210_1516,2,8,2,0.052799527,0.5058549,1,-10,-30,SM,SM,1,Yes,2,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,34,,37.0,,0.0,0,-10,-10,1,1.0,,22,,2,1,2,0.34791717,3,,1,3,-3,1,4,6,8,4,6,4,6,,,23,female,,4,CDU/CSU,,8,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,108,1,1,1,1,0,0.5,1.0,SM vs. RAND,positive,,,0,1,1_1,0,1,1,0,Value 1,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,1,,0,1
141210_1516,2,3,3,0.86154288,0.66959584,1,-10,-30,SM,SM,1,Yes,1,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,35,,33.0,,0.0,1,-10,-10,0,0.0,,12,,2,1,2,0.91168708,1,,1,1,-1,-1,3,5,7,4,7,5,7,,,19,male,,6,FDP,,3,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,103,-1,0,0,0,0,0.5,0.0,SM vs. RAND,positive,,,1,1,1_1,0,1,1,0,Value 1,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,1,,0,1
141210_1516,2,5,3,0.048496515,0.45664814,-1,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,30,,37.0,,0.0,1,-10,-10,0,0.0,,22,,2,1,2,0.54649431,3,,1,1,-1,-1,3,5,7,4,7,3,7,,,26,male,,2,Sonstige,,5,8,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,105,-1,0,0,0,0,0.5,0.0,SM vs. RAND,negative,,,1,1,1_1,0,1,0,1,Value -1,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,1,,0,1
141210_1516,2,7,3,0.72546339,0.29945841,-1,-10,-30,SM,RAND,2,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,25,,26.0,,0.0,1,-10,-10,0,0.0,,24,,2,1,2,0.50749213,2,,1,1,-1,-1,3,5,7,4,5,3,5,,,23,female,,4,SPD,,8,7,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,107,-1,0,0,0,0,0.5,0.5,SM vs. RAND,negative,,,1,1,1_1,0,1,0,1,Value -1,0,,0.0,,1.0,symmetric,0.0,0.0,0.0,,,1,,0,0
141210_1516,2,10,4,0.93303818,0.28942981,-1,-10,-30,RAND,RAND,2,-1,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,28,,0.0,,34.0,0,-10,-10,0,0.0,,22,,2,2,2,10.137065,1,,1,-1,1,-3,10,14,16,4,16,14,16,,,19,female,,6,CDU/CSU,,6,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,110,-3,0,0,0,0,0.5,0.5,SM vs. RAND,negative,,,1,1,1_2,0,1,0,1,Value -1,0,,0.0,,1.0,symmetric,0.0,0.0,0.0,,,1,,0,0
141210_1516,2,14,4,0.6306302,0.53458101,1,-10,-30,RAND,SM,1,-1,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,27,,0.0,,28.0,0,-10,-10,0,0.0,,21,,2,2,2,10.433399,2,,1,-1,1,-3,10,14,16,4,16,10,16,,,21,female,,3,Nichtwähler,,2,7,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,114,-3,0,0,0,0,0.5,0.0,SM vs. RAND,positive,,,0,1,1_2,0,1,1,0,Value 1,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,1,,0,1
141210_1516,2,16,4,0.41468281,0.17159462,-3,-10,-30,RAND,SM,1,-1,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,33,,0.0,,34.0,1,-10,-10,1,0.0,,21,,2,2,2,10.153739,3,,1,-1,1,-3,10,14,16,4,14,10,14,,,23,male,,6,FDP,,7,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,116,-3,0,0,0,0,0.5,0.0,SM vs. RAND,negative,,,1,1,1_2,0,1,0,1,Value -3,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,3,,0,1
141210_1516,2,11,5,0.57253802,0.060907338,-3,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,30,,37.0,,0.0,0,-10,-10,0,0.0,,24,,2,2,2,10.574435,2,,1,-3,-3,-3,11,15,17,4,17,15,17,,,19,female,,5,Bündnis 90 / Die Grünen,,4,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,111,-9,0,0,0,0,0.5,0.0,SM vs. RAND,negative,,,1,1,1_2,0,1,0,1,Value -3,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,3,,0,1
141210_1516,2,15,5,0.63013697,0.10853771,-3,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,33,,36.0,,0.0,1,-10,-10,0,0.0,,21,,2,2,2,10.446935,1,,1,-3,-3,-3,11,15,17,4,17,11,17,,,19,male,,5,AfD,,6,6,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,115,-9,0,0,0,0,0.5,0.0,SM vs. RAND,negative,,,1,1,1_2,0,1,0,1,Value -3,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,3,,0,1
141210_1516,2,17,5,0.32941833,0.2057111,-3,-10,-30,SM,SM,1,No,0,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,0,27,,38.0,,0.0,0,-10,-10,0,0.0,,23,,2,2,2,10.573681,3,,1,-3,-3,-3,11,15,17,4,15,11,15,,,18,male,,8,CDU/CSU,,3,3,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,117,-9,0,0,0,0,0.5,0.0,SM vs. RAND,negative,,,1,1,1_2,0,1,0,1,Value -3,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,3,,0,1
141210_1516,2,13,6,0.31900841,0.56567121,1,-10,-30,SM,SM,1,Yes,3,0.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,,1,28,,34.0,,0.0,1,-10,-10,1,1.0,,20,,2,2,2,10.631503,2,,1,1,1,1,13,19,21,4,21,19,21,,,19,male,,9,CDU/CSU,,6,4,,,,,,,,,,,,,,,1,symmetric,9,21,SM,RAND,113,3,1,1,1,0,0.5,1.0,SM vs. RAND,positive,,,1,1,1_2,0,1,1,0,Value 1,1,,1.0,,0.0,symmetric,1.0,1.0,1.0,,,1,,0,1
